privacy_key,name,parent_key,description
data_category,Data Category,,
업무절차,업무절차,data_category,"건설사업관리기술인, 공사감독자, 시공자의 시공단계 업무절차"
업무절차.건설사업관리,건설사업관리,업무절차,
업무절차.건설사업관리.공사관리,건설사업관리 공사관리,업무절차.건설사업관리,
업무절차.건설사업관리.계약관리,건설사업관리 계약관리,업무절차.건설사업관리,
업무절차.건설사업관리.시공관리,건설사업관리 시공관리,업무절차.건설사업관리,
업무절차.건설사업관리.설계관리,건설사업관리 설계관리,업무절차.건설사업관리,
업무절차.건설사업관리.공정관리,건설사업관리 공정관리,업무절차.건설사업관리,
업무절차.건설사업관리.기성관리,건설사업관리 기성관리,업무절차.건설사업관리,
업무절차.건설사업관리.품질관리,건설사업관리 품질관리,업무절차.건설사업관리,
업무절차.건설사업관리.안전관리,건설사업관리 안전관리,업무절차.건설사업관리,
업무절차.건설사업관리.환경관리,건설사업관리 환경관리,업무절차.건설사업관리,
업무절차.건설사업관리.그_밖의_업무,건설사업관리 그 밖의 업무,업무절차.건설사업관리,
업무절차.공사감독자,공사감독자,업무절차,
업무절차.공사감독자.공사_일반,공사감독자 공사 일반,업무절차.공사감독자,
업무절차.공사감독자.계약관리,공사감독자 계약관리,업무절차.공사감독자,
업무절차.공사감독자.시공관리,공사감독자 시공관리,업무절차.공사감독자,
업무절차.공사감독자.설계관리,공사감독자 설계관리,업무절차.공사감독자,
업무절차.공사감독자.공정관리,공사감독자 공정관리,업무절차.공사감독자,
업무절차.공사감독자.기성관리,공사감독자 기성관리,업무절차.공사감독자,
업무절차.공사감독자.품질관리,공사감독자 품질관리,업무절차.공사감독자,
업무절차.공사감독자.안전관리,공사감독자 안전관리,업무절차.공사감독자,
업무절차.공사감독자.환경관리,공사감독자 환경관리,업무절차.공사감독자,
업무절차.공사감독자.보상관리,공사감독자 보상관리,업무절차.공사감독자,
업무절차.공사감독자.그_밖의_업무,공사감독자 그 밖의 업무,업무절차.공사감독자,
업무절차.시공자,시공자,업무절차,
업무절차.시공자.공사_일반,시공자 공사_일반,업무절차.시공자,
업무절차.시공자.계약관리,시공자 계약관리,업무절차.시공자,
업무절차.시공자.시공관리,시공자 시공관리,업무절차.시공자,
업무절차.시공자.설계관리,시공자 설계관리,업무절차.시공자,
업무절차.시공자.공정관리,시공자 공정관리,업무절차.시공자,
업무절차.시공자.기성관리,시공자 기성관리,업무절차.시공자,
업무절차.시공자.품질관리,시공자 품질관리,업무절차.시공자,
업무절차.시공자.안전관리,시공자 안전관리,업무절차.시공자,
업무절차.시공자.환경관리,시공자 환경관리,업무절차.시공자,
업무절차.시공자.그_밖의_업무,시공자 그_밖의_업무,업무절차.시공자,
작성방법_및_사례,작성방법 및 사례,data_category,
작성방법_및_사례.공사시방서,공사시방서,작성방법_및_사례,
작성방법_및_사례.공사시방서.작성방법,공사시방서 작성방법,작성방법_및_사례.공사시방서,
작성방법_및_사례.공사시방서.작성사례,공사시방서 작성사례,작성방법_및_사례.공사시방서,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3.10_00_00_공통공사,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례.CCS_대당3,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3.11_00_00_지반공사,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례.CCS_대당3,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3.14_00_00_구조재료공사,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례.CCS_대당3,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3.21_00_00_가설공사,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례.CCS_대당3,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3.24_00_00_교량공사,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례.CCS_대당3,
작성방법_및_사례.공사시방서.작성사례.CCS_대당3.44_00_00_도로공사,공사시방서 작성사례 (CCS 대당3),작성방법_및_사례.공사시방서.작성사례.CCS_대당3,
작성방법_및_사례.시공계획서,시공계획서,작성방법_및_사례,
작성방법_및_사례.시공계획서.작성방법,시공계획서 작성방법,작성방법_및_사례.시공계획서,
작성방법_및_사례.시공계획서.작성사례,시공계획서 작성사례,작성방법_및_사례.시공계획서,
작성방법_및_사례.시공상세도,시공상세도,작성방법_및_사례,
작성방법_및_사례.시공상세도.시공상세도_업무,시공상세도 업무,작성방법_및_사례.시공상세도,
작성방법_및_사례.시공상세도.법적_책임과_의무,시공상세도 법적 책임과 의무,작성방법_및_사례.시공상세도,
작성방법_및_사례.시공상세도.작성_목록,시공상세도 작성목록,작성방법_및_사례.시공상세도,
작성방법_및_사례.시공상세도.작성_방법,시공상세도 작성방법,작성방법_및_사례.시공상세도,
작성방법_및_사례.시공상세도.승인_등급_및_절차,시공상세도 승인등급 및 절차,작성방법_및_사례.시공상세도,
작성방법_및_사례.시공상세도.작성_사례,시공상세도 작성사례,작성방법_및_사례.시공상세도,
작성방법_및_사례.시공상세도.관련지침,시공상세도 관련지침,작성방법_및_사례.시공상세도,
현장비치문서,작성방법 및 사례,data_category,
현장비치문서.표준시방서,표준시방서,현장비치문서,
현장비치문서.전문시방서,전문시방서,현장비치문서,
현장비치문서.전문시방서.한국도로공사,한국도로공사 전문시방서,현장비치문서.전문시방서,
현장비치문서.전문시방서.일반국도,일반국도 전문시방서,현장비치문서.전문시방서,
현장비치문서.전문시방서.국가철도공단,국가철도공단 전문시방서,현장비치문서.전문시방서,
현장비치문서.전문시방서.한국토지주택공사,한국토지주택공사 전문시방서,현장비치문서.전문시방서,
현장비치문서.전문시방서.한국농어촌공사,한국농어촌공사 전문시방서,현장비치문서.전문시방서,
현장비치문서.전문시방서.한국수자원공사,한국수자원공사 전문시방서,현장비치문서.전문시방서,
현장비치문서.전문시방서.서울시,서울시 전문시방서,현장비치문서.전문시방서,
현장비치문서.설계기준,설계기준,현장비치문서,
현장비치문서.KS규정,KS규정,현장비치문서,
현장비치문서.법령_행정규칙,법령_행정규칙,현장비치문서,
기술문서,기술문서,data_category,
기술문서.BIM관련_지침_규정_등,BIM 관련 지침_규정 등,기술문서,
기술문서.BIM관련_지침_규정_등.국토교통부,국토교통부 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.BIM관련_지침_규정_등.산업통상자원부,산업통상자원부 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.BIM관련_지침_규정_등.조달청,조달청 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.BIM관련_지침_규정_등.한국도로공사,한국도로공사 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.BIM관련_지침_규정_등.한국토지주택공사,한국토지주택공사 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.BIM관련_지침_규정_등.국가철도공단,국가철도공단 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.BIM관련_지침_규정_등.SH공사,SH공사 BIM 관련 지침_규정,기술문서.BIM관련_지침_규정_등,
기술문서.건설산업_관련_정부계획,건설산업 관련 정부계획,기술문서,
기술문서.건설산업_관련_정부계획.관계부처_통합,관계부처 통합 계획,기술문서.건설산업_관련_정부계획,
기술문서.건설산업_관련_정부계획.국토교통부,국토교통부 계획,기술문서.건설산업_관련_정부계획,
기술문서.건설산업_관련_정부계획.과학기술정보통신부,과학기술정보통신부 계획,기술문서.건설산업_관련_정부계획,
기술문서.한국도로공사_방침,한국도로공사 방침,기술문서,
기술문서.한국도로공사_방침.1998-2000,1998-2000 한국도로공사 방침,기술문서.한국도로공사_방침,
기술문서.한국도로공사_방침.2001-2010,2001-2010 한국도로공사 방침,기술문서.한국도로공사_방침,
기술문서.한국도로공사_방침.2011-2020,2011-2020 한국도로공사 방침,기술문서.한국도로공사_방침,
기술문서.한국도로공사_방침.2021-2023,2021-2023 한국도로공사 방침,기술문서.한국도로공사_방침,
